"";"id";"value";"color";"type";"alias";"notes";"frequency"
"45";221;"Grey emissions should be counted";"#000000";"";"";"";1
"46";228;"Higher standard for CO2 certificates";"#000000";"";"";"";1
"47";261;"Human activities are a major driver of CC";"#000000";"";"";"";4
"48";230;"Increased CO2 tax on combustibles";"#000000";"";"";"";12
"49";203;"Increasing energy efficiency";"#000000";"";"";"";2
"50";144;"Individual responsibility for climate protection action";"#000000";"";"";"";9
"51";159;"Intergenerational justice";"#000000";"";"";"";12
"52";393;"International GCC agreement needs to include all major emitters";"#000000";"";"";"";1
"53";179;"International carbon tax";"#000000";"";"";"";4
"54";174;"International coordination";"#000000";"";"";"";17
"55";131;"Large-scale power plants essential for energy security";"#000000";"";"";"";2
"56";205;"Low emission (private / public) transport";"#000000";"";"";"";26
"57";225;"Market-based instruments instead of regulation";"#000000";"";"";"";21
"58";211;"Municipals/cities important for CC";"#000000";"";"";"";1
"59";369;"My country is particularly vulnerable to CC";"#000000";"";"";"";5
"60";215;"My country is responsible for small % of global emissions";"#000000";"";"";"";5
"61";405;"My country should be an international leader in climate finance";"#000000";"";"";"";4
"62";130;"My country should ratify the Paris Agreement";"#000000";"";"";"";1
"63";170;"My country should take a leading international role in GHG reduction";"#000000";"";"";"";9
"64";209;"My country’s (federal) climate protection ambition / measures sufficient";"#000000";"";"";"";33
"65";243;"National measures in aviation sector needed";"#000000";"";"";"";40
"66";217;"National reduction target 50%";"#000000";"";"";"";25
"67";235;"Offroader Initiative";"#000000";"";"";"";2
"68";182;"Positive view of current climate negotiations";"#000000";"";"";"";8
"69";326;"Preventing greenwashing";"#000000";"";"";"";3
"70";161;"Prevention of CC risks necessary";"#000000";"";"";"";5
"71";195;"Promotion of fossil energy";"#000000";"";"";"";19
"72";188;"Promotion of technical solutions";"#000000";"";"";"";8
"73";234;"Redistiribution of CO2 tax";"#000000";"";"";"";8
"74";222;"Reduction of other GHGs";"#000000";"";"";"";1
"75";543;"Reforestation and avoided deforestation strategies";"#000000";"";"";"";3
"76";223;"Revision of the CO2 Act";"#000000";"";"";"";104
"77";244;"Significant carbon sink potential in soil";"#000000";"";"";"";1
"78";236;"Stricter regulation of vehicles";"#000000";"";"";"";17
"79";308;"Subsidies (for GHG reduction)";"#000000";"";"";"";17
"80";373;"Swiss Climate Fund";"#000000";"";"";"";9
"81";12;"Tackling covid crisis should be coupled with CC mitigation";"#000000";"";"";"";37
"82";167;"Urge for immediate action (no wait-and-see strategy)";"#000000";"";"";"";32
"83";224;"Voluntary instruments";"#000000";"";"";"";15
"84";143;"Ways of consumption should be changed to mitigate climate change";"#000000";"";"";"";52
"85";266;"Wealth tax for climate protection";"#000000";"";"";"";4
